00:28:14:11	00:28:17:24	好 媽絕對買好幾斤給你吃
00:28:17:24	00:28:19:13	讓你吃到牙齒掉光光
00:28:19:13	00:28:23:13	變成歐吉桑
00:28:23:13	00:28:25:09	走
00:28:38:11	00:28:40:24	次郎當街上的孩子
00:28:40:24	00:28:43:02	有漂亮衣服跟鞋子穿
00:28:43:02	00:28:44:10	不像我們
00:28:44:10	00:28:47:05	每天都打赤腳去學校
00:28:47:05	00:28:50:03	腳底都磨破皮了
00:28:50:28	00:28:52:00	次郎有書包耶
00:28:52:00	00:28:53:15	上次大伯載他回來
00:28:53:15	00:28:55:29	我有看到
00:28:55:29	00:28:58:04	他也有鉛筆盒
00:28:58:04	00:29:01:02	他的鉛筆每支都很長喔
00:29:01:02	00:29:03:15	他還有十六色的蠟筆
00:29:03:15	00:29:05:03	全新的喔
00:29:05:03	00:29:07:14	他有蠟筆也不會借你用
00:29:07:14	00:29:09:08	有什麼了不起
00:29:09:08	00:29:10:04	我們來比賽
00:29:10:04	00:29:12:02	誰第一個跑到學校
00:29:12:02	00:29:14:27	贏的人 我請他吃柑仔糖
00:29:14:27	00:29:16:27	收斗笠的人還沒來
00:29:16:27	00:29:18:08	你怎麼有柑仔糖
00:29:18:08	00:29:22:03	我媽說下午收斗笠的人會來
00:29:22:03	00:29:24:04	我就有錢買柑仔糖
00:29:24:04	00:29:25:12	你們要不要比賽
00:29:25:12	00:29:27:14	我們要
00:29:27:14	00:29:29:01	跑快一點啦
00:29:29:01	00:29:31:13	我要追上你們了
00:29:53:08	00:29:56:11	上課了...
00:30:03:22	00:30:04:17	老師好
00:30:04:17	00:30:06:00	好
00:30:16:16	00:30:19:09	來 同學 把圖畫紙傳下去
00:30:20:26	00:30:21:21	好 傳下去喔
00:30:21:21	00:30:25:26	一個人一張 來
00:30:30:18	00:30:35:24	這也是新的...
00:30:35:24	00:30:38:22	全班我的尪仔標最多
00:30:38:22	00:30:40:01	你那算什麼
00:30:40:01	00:30:41:20	我二哥的尪仔標
00:30:41:20	00:30:43:11	這麼一大疊
00:30:43:11	00:30:45:05	你騙人
00:30:45:05	00:30:47:21	不信 改天我二哥回來
00:30:47:21	00:30:50:04	你到我家看
00:30:50:04	00:30:51:17	不要講話
00:30:51:17	00:30:54:14	等一下講話的到外面去罰站
00:30:56:23	00:30:58:24	好 老師跟大家講
00:30:58:24	00:31:01:16	今天要帶蠟筆到學校
00:31:01:16	00:31:03:21	沒有帶的人舉手
00:31:03:21	00:31:04:19	張鴻明沒帶
